NBITS	NTROTS	L	H	LEN	E	FCIE	STATESIZ	DEPTH	TIME
10	1	-1.6	-0.8	0.74	-1.30859375	-1.1372838344855138	4	65879	8700189599
10	2	-1.6	-0.8	0.74	-1.30859375	-1.1372838344855138	4	132374	15821293389
10	3	-1.6	-0.8	0.74	-1.09453125	-1.1372838344855138	4	198869	23385361853
10	4	-1.6	-0.8	0.74	-1.1171875	-1.1372838344855138	4	265364	31185477157
10	5	-1.6	-0.8	0.74	-1.12578125	-1.1372838344855138	4	331859	38799060979
10	6	-1.6	-0.8	0.74	-1.1296875	-1.1372838344855138	4	398354	46551724793
10	7	-1.6	-0.8	0.74	-1.13203125	-1.1372838344855138	4	464849	54460818796
10	8	-1.6	-0.8	0.74	-1.1328125	-1.1372838344855138	4	531344	62462676814
10	9	-1.6	-0.8	0.74	-1.13359375	-1.1372838344855138	4	597839	70242967745
10	10	-1.6	-0.8	0.74	-1.134375	-1.1372838344855138	4	664334	77900677067
10	11	-1.6	-0.8	0.74	-1.13515625	-1.1372838344855138	4	730829	86083479016
10	12	-1.6	-0.8	0.74	-1.13515625	-1.1372838344855138	4	797324	94617068312
